,year,author,title,journal,keyword,keyplus,abstract,core_count,cited_count,area
10,2018,"Mullet, DR; Kettler, T; Sabatini, A",Gifted Students' Conceptions of Their High School STEM Education,JOURNAL FOR THE EDUCATION OF THE GIFTED,gifted; phenomenography; conceptions; STEM; science; mathematics; secondary,PERCEPTIONS; PROGRAMS; PERSPECTIVES; EXPERIENCES,"This qualitative study was conducted to explore gifted students' conceptions of their high school science, technology, engineering, and mathematics (STEM) education. Participants were seven male and female college freshmen selected from the Honors College of a large research university. In-depth interviews captured students' retrospective accounts of their conceptualizations of their high school STEM education. Interview transcripts were analyzed inductively using a phenomenographic analysis framework. Findings comprised an outcome space composed of six core categories of meaning representing STEM learning environment, institutional supports, social supports, teacher qualities, active involvement in learning, and students' self-perceptions of their STEM capability. Findings from this study offer a deep understanding of contemporary STEM education of gifted secondary students and help inform future curriculum design, program evaluation, and educational policy.",6,9,Education & Educational Research
11,2019,"Laine, S; Hotulainen, R; Tirri, K",Finnish Elementary School Teachers' Attitudes Toward Gifted Education,ROEPER REVIEW-A JOURNAL ON GIFTED EDUCATION,attitudes; differentiated teaching; explorative factor analysis; gifted education; teachers,INCLUSIVE EDUCATION; ACCELERATION; PREDICTORS; FINLAND; PERCEPTIONS; STUDENTS,"This study examined Finnish elementary school teachers' (N = 212) attitudes toward the gifted and their education. On a general level, teachers' attitudes toward gifted education were slightly positive. Teachers saw that gifted students have social value and that they need special services. The results of teachers' attitudes toward specific gifted education options were in line with earlier Finnish research, because teachers supported differentiated teaching but were more negative toward acceleration or separating the gifted into their own groups. However, despite the strong support for differentiated teaching for the gifted, teachers' positions toward practice were more skeptical.",5,5,Education & Educational Research
12,2010,"Orbay, M; Gokdere, M; Tereci, H; Aydin, M",Attitudes of gifted students towards science depending on some variables: A Turkish sample,SCIENTIFIC RESEARCH AND ESSAYS,Gifted students; science education; science attitude,COMPUTERS,"This research aimed to examine the science attitudes of gifted students attending the science and art centers (SAC) in Turkey depending on variables such as gender of students, their fields of education, classroom level and the education levels of their families. The test of science related attitudes (TOSRA), developed by Fraser (1978), simplified by Chaerul (2002) and translated into Turkish and the validity and reliability of which were studied by Curebal (2004), was used in the research. It was observed that there was no statistical difference between the science attitudes of students and the above-mentioned variables. A general analysis of the obtained results was performed comparatively with the studies at national and international levels. In line with the results, a discussion was made on what could be done particularly regarding the science and technology instruction of students at SACs which were developed as a suitable model for country conditions.",5,5,Science & Technology - Other Topics
13,2021,"Wai, J; Worrell, FC",The future of intelligence research and gifted education,INTELLIGENCE,Gifted education; Intelligence research; Interdisciplinary research; Educational practice,SCIENCE; LIFE,"This paper considers the future of intelligence research and gifted education by first examining gifted education through the lens of intelligence research and second by examining intelligence research through the lens of gifted education. We take a historical approach to understanding the potential confluence of the two domains and also consider the challenges of integrating a primarily science focused field with a primarily advocacy and applied field. We conclude by acknowledging genuine challenges of integrating the two fields in the future while simultaneously providing some recommendations on how intelligence research and gifted education might find a scientific and pragmatic intersection with a focus on helping develop the talents of all students, and especially those from marginalized backgrounds.",4,4,Psychology
14,2022,"Ayoub, AEA; Alabbasi, AMA; Morsy, A",Gifted education in Egypt: analyses from a learning-resource perspective,COGENT EDUCATION,Gifted education; giftedness; talent; endogenous learning resources; exogenous learning resources; Egypt,TALENT DEVELOPMENT; STUDENTS; COGNITION; INTELLIGENCE; ACHIEVEMENT; PERFORMANCE; ADOLESCENTS; MOTIVATION; ATTITUDES; MODEL,"The interest in the education of gifted students in Egypt began since 1962, when the first school for the gifted was established. In 2005, a clear decline was observed in the number of students enrolled in the high school science section due to some practical and economic reasons. Consequently, the Egyptian Ministry of Education launched STEM schools for gifted students in math and science in 2011, to support gifted students and provide them with varied opportunities to develop their skills and abilities. Moreover, the Ministry of Higher Education established many specialized centers for gifted students. This study aimed to explore the real situation of gifted education in Egypt, from the learning-resource perspective. The researchers contacted and collated reports from many institutions in Egypt, including the Ministry of Education, the Ministry of Higher Education, and the Centers for Gifted students. Moreover, some tools were developed to collect data about the real situation of gifted students in Egypt. Our analysis showed a tangible progress in gifted education; examining the exogenous and endogenous learning resources revealed the strengths and weaknesses of gifted education in Egypt. We recommend the need for more efforts to provide this exceptional student category with proper opportunities.",1,1,Education & Educational Research
15,2019,"Crabtree, LM; Richardson, SC; Lewis, CW","The Gifted Gap, STEM Education, and Economic Immobility",JOURNAL OF ADVANCED ACADEMICS,gifted education; disproportionality; STEM; economic mobility; Advanced Placement,AFRICAN-AMERICAN; STUDENTS; IDENTIFICATION; SCIENCE; IMPACTS; SCHOOLS; POVERTY; TRENDS; NEIGHBORHOODS; ACHIEVEMENT,"Systemic inequities in educational opportunities contribute to reduced economic mobility. Extensive research has documented disproportionality in gifted education at national and state levels. However, limited research examines inequities in gifted education within districts. Informed by critical systems theory (CST), this research provides an analysis of the Gifted Gap in a school district serving a growing metropolitan area with surprisingly limited economic mobility. Results reveal underrepresentation of students experiencing poverty, and Black and Latinx students of all socioeconomic groups in gifted education programs. Inequities in gifted education create systemic barriers including reduced enrollment in Advanced Placement (AP) courses, a factor that impedes college completion and participation in science, technology, engineering, and math (STEM) research and innovation. Reducing gifted education disproportionality is a promising way to increase economic mobility and broaden participation in STEM.",17,18,Education & Educational Research
16,2020,"Shin, E; Choi, W",Middle School Science Gifted Students' Perceptions of the Effectiveness of Science Classes Using Science Writing Heuristic,JOURNAL OF THE KOREAN CHEMICAL SOCIETY-DAEHAN HWAHAK HOE JEE,Science writing heuristic (SWH); Science gifted students; Meta cognition; 2015 revised science national curriculum,,"In this study, four gifted students in the second year of middle school at Gifted Education Center of the National University in Jeollanam-do were surveyed students' perceptions of the effectiveness of science class using science writing heuristic in terms of metacognition and the goals of the 2015 revised science curriculum. Through questionnaires and interviews with gifted science students, science gifted students recognized that the science class using science writing heuristic had a positive effect on the four subdomains (planning, monitoring, control, and evaluation) of metacognition. For this reason, the science gifted students presented self-directed experience in designing experiments, continually checking the collected experimental data, feedback process, and reflecting experience in preparing conclusions. Science gifted students recognized that science class using science writing heuristic had a positive effect on the goals of the 2015 revised science curriculum(attitudes, inquiry, knowledge, Science.Technology.Society(STS), and the enjoyment and usefulness of science learning) that correspond to through inquiry science writing lessons. For this reason, the science gifted students presented self-directed inquiry experiences, continual inquiry experiences on the same subject, thinking process at each stage of inquiry, learning experiences through inquiry, experience of the whole inquiry process, and inquiry of phenomena closely related to real life. Therefore, for the effective science class, it is necessary to apply the characteristics of science class using science writing heuristic which is responded by science gifted students to general science class as well as science gifted class later.",0,0,Chemistry
17,2019,"Chung, DH; Jin, M; Park, KJ",Analysis of the Questioning Characteristics of Elementary Science Gifted Education Teaching Materials using the Sternberg's View of Successful Intelligence: Focused on Semantic Network Analysis,JOURNAL OF THE KOREAN EARTH SCIENCE SOCIETY,questions of the teaching materials; successful intelligence; science gifted education; semantic network analysis,,"From the perspective of science gifted education, the successful intelligence theory is a means to understand how the gifted education curriculum reflects the characteristics of science gifted students. The purpose of this study is to investigate if the successful intelligence is fully reflected in the teaching materials of two gifted education centers (GECDOE: Gifted Education Center affiliated with District Office of Education, GSEIU: Gifted Science Education Institute attached to University). For this study, we selectively used 143 (GECDOE) and 134 questions (GSEIU) from the teaching materials of two gifted education centers. Those questions is analyzed through the semantic network analysis method. The results are as follow. First, the teaching materials of two gifted education centers are not evenly reflected in the successful intelligence, such as analytical ability, creative ability, and practical ability. Second, the teaching materials of two gifted education centers intensively demands analytical ability for students such as 'identify problem', 'represent and organize information', and 'additional prompts for analytical thinking' Third, the teaching materials of two gifted education centers are presented to students without linking each frame of successful intelligence to one another. As the gifted students are quick to learn and show a preference for more complex thinking, it is necessary to develop teaching materials to experience the various abilities and promote integrated thinking according to the level of the gifted students. In this respect, this study is expected to be used as useful information for developing teaching materials to support customized education for gifted students.",1,1,Geology
18,2022,"Uzunboylu, H; Akcamete, G; Sarp, N; Demirok, M",Primary Schoolteachers' Opinions about Gifted Education Programmes in Distance Education,SUSTAINABILITY,distance education; hybrid model; gifted child; gifted education; primary school teacher; qualitative research,STUDENTS; SEARCH; WEB,"There is a need for scientific information obtained in scientific research environments related to the delivery of curriculum development training for gifted children by primary school teachers in distance education environments. This study aims to evaluate primary schoolteachers' views on gifted education programmes that can be given through distance education. The research was carried out with 26 classroom teachers teaching in two different public schools in the spring term of the 2021-2022 academic year. The research was carried out according to the qualitative research model. A semi-structured interview form was created, consisting of interview questions about the quality and opinions of classroom teachers regarding education programmes that can be given through distance education. The validity and reliability analysis of the interview form was carried out within the framework of the opinions of field experts. Although the majority of teachers have gifted students, they need a gifted education programme, with the opinion that this training should be given in the hybrid model. When the gifted education programme for teachers is provided in the hybrid model, it is more effective than other models.",0,0,Science & Technology - Other Topics; Environmental Sciences & Ecology
19,2014,"Kang, KI; Kim, YM","CONVERGENCE PROGRAM WITH LITERATURE, ART AND BIOLOGY IN SCIENCE GIFTED EDUCATION: A CASE STUDY",EDULEARN14: 6TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,art and science; creative research program; convergence education; multi-disciplinary course design; creative and critical thinking; gifted education,,"This case study aims to design and implement the latest educational research, convergence and integrated education. The study focuses to foster creative and synthetic thinking through the LAB (Literature, Art and Biology) program where literature, art and biology converge, combined with laboratory works for science gifted students. A collaborative research program, the LAB project was developed and has been applied in three consecutive years at Korea Science Academy of KAIST (Korea Advanced Institute of Science and Technology). The program designs a course where biology research combined with artistic and literary work explores selected themes: concept visualization, molecular structure, biomimicry, identity and design with humanism. The course involves scientific inquiry with practice, independent surveys on art and literature, visualization of knowledge, hands-on experiments for related biological topics, and adaptation of research results in the form of useful and meaningful materials in real life. The LAB program results in broadening the scope of research methods and topics, widening creative and synthetic thinking, and raising awareness of benefits from collaborating in various academic fields. The study discusses systematic ways to design the model of convergence education with multi-disciplinary approaches.",0,0,Education & Educational Research
20,2016,"Yudha, ES; Kartadinata, S; Rusmana, N",Gifted Innovation Education: New Perspective in Identification and Development of Gifted Student in Inclusion Education Setting,PROCEEDINGS OF THE 1ST INTERNATIONAL CONFERENCE ON SOCIAL AND POLITICAL DEVELOPMENT (ICOSOP 2016),Gifted education; social-emotional competence; intrinsic motivation; inclusion,,"The purpose of this paper is to provide a new perspective in the identification and development of gifted students in Indonesian inclusive education settings. Education recruitment system of gifted children that are currently used to attract gifted children requires three things: IQ above average, creativity, and high task commitment. They are considered inapplicable for application in Indonesia because, in addition to high costs, their implementation is difficult to reach remote area of Indonesia. The new models that are developed by using non-test instrument is expected to answer problems and challenge of identifications and development of gifted children in Indonesia. The concept to recruit and to develop gifted children is social-emotional competence of gifted children those are confirmed by using intrinsic motivation. The meeting of these two variables is believed to be theoretically able to attract gifted children in inclusive educational settings that carry the education for all. Therefore, the development of gifted children can be more humane and does not deprive the child from social community.",0,0,Public Administration; Sociology
21,2021,"Suherman, Y; Maryanti, R; Juhanaini, J",TEACHING SCIENCE COURSES FOR GIFTED STUDENTS IN INCLUSIVE SCHOOL,JOURNAL OF ENGINEERING SCIENCE AND TECHNOLOGY,Education; Gifted student; Inclusive school; Science; Teaching,CURRICULUM,"The purpose of this study was to determine the teaching process of science subjects for gifted students in inclusive schools. The subjects of this study were 15 gifted students in an inclusive school in West Java, Indonesia. We collected data and analysed using observation, interviews, and tests to get information for qualitative and quantitative results. Comprehensive counselling was also used to support the analysis. The results showed the increases in the student learning outcomes. There are some gifted students who experience underachiever. However, when science learning methods and media were used, improvements in the students' ability can be obtained. In addition, the findings of this study are that not all special intelligent children have to be treated with high learning outcomes. This is due to the incomplete and ineffective student learning methods to improve students' ability, making the students to get less than their actual abilities.",5,5,Engineering
22,2017,"Trna, J; Trnova, E",SYSTEMIC TEACHER EDUCATION TO SUPPORT GIFTED STUDENTS IN SCIENCE AND TECHNOLOGY,"INTED2017: 11TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE",Giftedness; motivation; systemic teacher education; science and technology education,REFORM,"Quality of teachers is one of the most important factors influencing quality and efficiency of school education. To improve the quality of school education and lifelong learning, it is necessary to support continuous professional development of teachers. This study provides research outcomes, the aim of which was to answer the research question regarding creation of a systemic teacher education to support giftedness in science and technology. Design-based research was used as a core research strategy in the study, which has brought us to the conclusion that it is necessary to create systemic teacher education for the support of giftedness. Teacher pre-service and in-service education should be systematically linked with practical experience and teacher professional competences have to be formed through the combination of these three main parts of continuous professional development. Motivation of gifted students are presented as an important component of the systemic teacher education to improve quality and excellence in STE.",0,0,Education & Educational Research
23,2008,"Caleon, IS; Subramaniam, R",Attitudes Towards Science of Intellectually Gifted and Mainstream Upper Primary Students in Singapore,JOURNAL OF RESEARCH IN SCIENCE TEACHING,general science; gifted education; attitudes; elementary,GENDER DIFFERENCES; ACHIEVEMENT; SCALES; GIRLS; PROGRAM; IMPACT; BOYS,"The attitudes towards science of upper-primary students in three ability strands (average, above average, and gifted) were investigated. A total of 580 upper primary students from co-educational government and government-aided schools in Singapore were involved in this study. The attitude subscales investigated were enjoyment of science, preference for science careers, and appreciation of the social implications of science. Gender and ability were found to have statistically significant effects on the variations in the mean score for each attitude subscale. Boys, in general, had more positive views about science than girls. Overall, above-average and gifted students had comparable attitudes towards science; both of them consistently showed more positive attitudes than average ability students. At least 18% of the sample, with greater percentage being boys, reported not sure responses in 50% or more of the total attitude items. (C) 2008 Wiley Periodicals, Inc. J Res Sci Teach 45: 940-954, 2008",51,52,Education & Educational Research
24,2021,"Can, I; Ekici, DI",Science learning through problems in gifted and talented education: reflection and conceptual learning,EDUCATIONAL STUDIES,Problem-based learning; reflective thinking; conceptual learning; gifted; science,MIDDLE-SCHOOL; STUDENTS; THINKING; PERCEPTIONS; INQUIRY; ACHIEVEMENT; CREATIVITY; KNOWLEDGE; TEACHERS; DESIGN,"This explanatory case study aims to investigate conceptual changes on the part of gifted and talented students and describe their reflective thinking with regard to problem-solving as part of the problem-based learning (PBL) process. Twenty-two gifted and talented fourth grade primary school students participated in the study. The students were taught with problem-based science modules for eight weeks. The data collection tools used were structured reflective diaries with regard to problem-solving and a semi-structured interview form with regard to conceptual learning. Data analysis revealed that the PBL enriches the conceptual science learning of gifted and talented students. The reflective thinking of such students with regard to problem-solving was mostly involved questioning and evaluation. In their diaries, the students' reflections included explanations of, and questions about, the issues and concepts in the problem-solving process, evaluations of the comparison of solutions among their peers, and new problems in the subject area. However, students only explained the operations they performed in solving the problem superficially. Therefore, students' reflections, which included their awareness of the activities they had performed as part of PBL, were limited.",0,0,Education & Educational Research
25,2019,"Godor, BP",Gifted Metaphors: Exploring the Metaphors of Teachers in Gifted Education and Their Impact on Teaching the Gifted,ROEPER REVIEW-A JOURNAL ON GIFTED EDUCATION,classroom practices; differentiation; gifted education; metaphors; pedagogical needs; teacher practices,INSTRUCTION,"Metaphors are devices that people employ for both poetic purposes and rhetorical elaboration and belong to the realm of extraordinary language. Metaphors are used to connect abstract ideas and information to more concrete experiences, thus making these experiences more familiar and easier to understand. Moreover, metaphors are more than symbolic intellectual processes; they influence the conceptual understanding of our experiences and help define our everyday realities. For education, there is an important and relevant practical connection between the metaphors that teachers employ and their beliefs about teaching and classroom practices. This stems from the notion that metaphors guide one's mental framework. In order to gain a deeper understanding of the metaphors influencing teachers in gifted education, this study specifically asked teachers to describe both their metaphors concerning gifted students as well as those influencing their teaching. In this study, nine different themes were identified. This research demonstrates a clear connection between reported metaphors and how gifted students receive their education from teachers. Participant's answers demonstrate a strong connection between their metaphors and their classroom practices. However, strict adherence to one's root metaphor increases the chance for dogmatism in the classroom and can lead to potentially incoherent classroom differentiation and a potential disconnect between classroom practices and the actual pedagogical needs of the gifted learner.",3,3,Education & Educational Research
26,2020,"Pramathevan, GS; Fraser, BJ",Learning environments associated with technology-based science classrooms for gifted Singaporean females,LEARNING ENVIRONMENTS RESEARCH,Gifted education; Learning environment; Questionnaire validation; Science education; Self-efficacy; Singapore; Technology-based instruction,STUDENT-ACHIEVEMENT; ITEM REVERSALS; QUESTIONNAIRE; VALIDATION; OUTCOMES; MATHEMATICS; ATTITUDES; PERCEPTIONS; RELIABILITY; EDUCATION,"Because there has been very little past research into gifted students' science learning environments, especially in Singapore, we selected from four established questionnaires six learning environment scales that are consistent with Van Tassel-Baska and Stambaugh's guidelines for gifted education. These scales were modified slightly to enhance suitability for the target population and refined further based on feedback from teachers and students in a pilot study. Data from administration of the questionnaires to 722 gifted science students in grades 9 and 10 were analysed to provide support for the questionnaire's factorial validity, internal consistency reliability, ability to differentiate between classrooms, and predictive validity (in terms of associations with self-efficacy). To evaluate a new one-student one-laptop program being implemented for the first time, we compared the learning environments of this program with regular classrooms and found higher levels of perceived investigation, task orientation, collaboration, computer usage and formative assessment in technology-based classrooms.",1,1,Education & Educational Research
27,2022,"Matthews, MS; Jolly, JL",Why Hasn't the Gifted Label Caught up with Science?,JOURNAL OF INTELLIGENCE,gifted education; history of education; nature vs; nurture,EDUCATION RESEARCH; INTELLIGENCE; IMPACT,"The development of both special education and gifted education as fields of study were closely tied to the origins of intelligence testing in the early 20th century. While special education's terminology has become more nuanced and circumspect over the ensuing century, the term gifted has remained unchanged despite coming under substantial criticism in recent decades for its lack of specificity and for the innateness that the term implies as the primary cause of individual differences in ability. We examine this history and the seminal nationally disseminated reports related to gifted education, from the Marland report to the present, to consider why the gifted label has persisted. We conclude with some suggestions for how these issues might be remedied.",0,0,Psychology
